Kohi Coffee Company,"['3.7 stars 32 Reviews', ' 40 Berkeley St']"
Render Coffee,"['4.5 stars 640 Reviews', ' 563 Columbus Ave APT 2']"
Gracenote Coffee Boston,"['4.7 stars 685 Reviews', ' 108 Lincoln St']"
Jaho Coffee Roaster & Wine Bar,"['4.1 stars 560 Reviews', ' 116 Huntington Ave']"
Thinking Cup,"['4.4 stars 1,212 Reviews', ' 236 Hanover St']"
Farmers Horse Coffee,"['4.6 stars 433 Reviews', ' 374 Massachusetts Ave']"
George Howell Coffee,"['4.1 stars 89 Reviews', ' Public Market 100 Hanover St']"
Say Coffee Co,"['4.4 stars 82 Reviews', ' 401 Park Dr']"
Tradesman Coffee Shop and Lounge,"['4.5 stars 716 Reviews', ' 58 Batterymarch St']"
Ogawa Coffee,"['4.5 stars 1,322 Reviews', ' 10 Milk St']"
Blue Bottle Coffee,"['4.3 stars 453 Reviews', ' 800 Boylston St #25']"
Caffè Nero,"['4.4 stars 186 Reviews', ' 103 Newbury St']"
The Well Coffee House,"['4.7 stars 582 Reviews', ' 212 Washington St']"
Phinista Cafe,"['4.5 stars 685 Reviews', ' 96 Peterborough St']"
Pavement Coffeehouse - Newbury,"['4.2 stars 613 Reviews', ' 286 Newbury St']"
Cuppacoffee Boston South End,"['4.5 stars 188 Reviews', ' 57 Traveler St']"
Pavement Coffeehouse - Fenway,"['4.3 stars 482 Reviews', ' 1334 Boylston St']"
Caffè Bene,"['4.3 stars 713 Reviews', ' 333 Massachusetts Ave']"
Blank Street Coffee,"['4.3 stars 62 Reviews', ' 282 Cambridge St']"
CuppaCoffee Boston Westend,"['4.6 stars 220 Reviews', ' 1 Merrimac St']"
Sip Café,"['4.6 stars 238 Reviews', ' 0 Post Office Square']"
Pavement Coffeehouse - Berklee,"['4.2 stars 455 Reviews', ' 1096 Boylston St']"
Caffe Vittoria,"['4.3 stars 2,082 Reviews', ' 290-296 Hanover St']"
